claim,true_label,pred_label,justification,sub_questions,evidence_str
Rușii folosesc interviul lui Macron în care a spus că Rusia e „adversară” ca unealtă de propagandă. Clipul rulează în secții de vot,true,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|><|assistant|>
Dovezi:
Rușii folosesc interviul lui Macron în care a spus că Rusia e „adversară” ca unealtă de propagandă. Clipul rulează în secții de vot. Rușii folosesc pe post de propagandă interviul de joi seară al lui Emmanuel Macron, în care președintele francez a spus că Rusia este un „adversar” și difuzează fragmente din acest interviu în secțiile de vot la simulacrul de alegeri prezidențiale de vineri, scenetă pe care Putin o regizează pentru a-și mai acorda încă un „mandat”. Emmanuel Macron a catalogat Rusia, joi seara, în acest interviu acordat posturilor TF1 și France2, drept „adversară” și nu „inamică” și și-a reiterat sprijinul față de Ucraina. Însă „noi nu suntem în război cu Rusia”, a precizat el. El a mai spus că dictatorul rus este „prins într-o derivă personală, represivă și autoritaristă în țara sa”. Imaginile din interviul lui Macron rulează pe ecran în timp ce rușii „votează”, relatează BFMTV, citată de news.ro. „Nu este","['Rușii folosesc interviul lui Macron în care a spus că Rusia e „adversară” ca unealtă de propagandă.', 'Clipul rulează în secții de vot.', 'Macron a spus că Rusia este „adversară” într-un interviu.']","Rușii folosesc interviul lui Macron în care a spus că Rusia e „adversară” ca unealtă de propagandă. Clipul rulează în secții de vot. Rușii folosesc pe post de propagandă interviul de joi seară al lui Emmanuel Macron, în care președintele francez a spus că Rusia este un „adversar” și difuzează fragmente din acest interviu în secțiile de vot la simulacrul de alegeri prezidențiale de vineri, scenetă pe care Putin o regizează pentru a-și mai acorda încă un „mandat”. Emmanuel Macron a catalogat Rusia, joi seara, în acest interviu acordat posturilor TF1 și France2, drept „adversară” și nu „inamică” și și-a reiterat sprijinul față de Ucraina. Însă „noi nu suntem în război cu Rusia”, a precizat el. El a mai spus că dictatorul rus este „prins într-o derivă personală, represivă și autoritaristă în țara sa”. Imaginile din interviul lui Macron rulează pe ecran în timp ce rușii „votează”, relatează BFMTV, citată de news.ro. „Nu este deloc un lucru inofensiv. Nu e ca și cum șeful secției ar fi spus "
Acest videoclip arată un tunel făcut de evrei sub o sinagogă din New York.,false,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|>1. Acest videoclip arată un tunel făcut de evrei sub o sinagogă din New York. 2. Evreii au creat un sistem subteran în New York. 3. Evreii au creat un sistem subteran în New York pentru a se ascunde de naziști. 4. Evreii au creat un sistem subteran în New York pentru a se ascunde de naziști și a se pregăti pentru războiul din Israel. 5. Evreii au creat un sistem subteran în New York pentru a se ascunde de naziști și a se pregăti pentru războiul din Israel și a se pregăti pentru războiul din Palestina. 6. Evreii au creat un sistem subteran în New York pentru a se ascunde de naziști și a se pregăti pentru războiul din Israel, a se pregăti pentru războiul din Palestina și a se pregăti pentru războiul din Iran. 7. Evreii au creat un sistem subteran în New York pentru a se ascunde de naziști și a se pregăti pentru războiul din Israel, a se pregăti pentru războiul din Palestina, a se pregăti pentru războiul din Iran și a se pregăti pentru ră","['[', '{""afirmație"": ""Acest videoclip arată un tunel făcut de evrei sub o sinagogă din New York."", ""verdict"": ""FALS"", ""justificare"": ""Afirmația este falsă. Videoclipul arată un tunel sub o sinagogă din New York, dar nu este făcut de evrei. Sinagoga din New York este una din cele mai mari din lume și are un spațiu subteran care a fost construit în 1867, înainte de a fi cucerită de evrei. Spațiul subteran a fost construit de imigranți irlandezi și']","Rusia trimite „sute” de răniți de război pentru tratament în Coreea de Nord. Ce avantaje are Phenianul din acest program. Rusia trimite soldați care au fost răniți în războiul din Ucraina pentru a se recupera în Coreea de Nord, a declarat ambasadorul Moscovei la Phenian pentru mass-media de stat ruse, scrie Business Insider . Comentariul lui Alexander Matsegora, care reprezintă interesele ruse în Coreea de Nord timp de peste un deceniu, a făcut parte dintr-un interviu amplu despre relațiile transfrontaliere pe care l-a publicat luni publicația de stat Rossiskaia Gazeta. „Un exemplu clar al unei astfel de atitudini frățești este reabilitarea a sute de soldați răniți ai SVO în sanatorii și spitale coreene”, a spus el. „SVO” este o abreviere folosită de Kremlin pentru a descrie războiul din Ucraina ca o „operațiune militară specială”. Coreea de Nord a refuzat compensațiile de la Moscova pentru tratamentul oferit răniților, potrivit lui Matsegora. „Totul legat de șederea în RPDC (Republica"
Imagini de la televiziunea poloneză arată dublura sau clona lui Zelenski.,false,true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|>assistant: Nan<|end|><|assistant|>
Verdict: ADEVĂRAT
Justificare: nan<|end|>1. Imagini de la televiziunea poloneză arată dublura sau clona lui Zelenski. 2. Rusia trimite „sute” de răniți de război pentru tratament în Coreea de Nord. 3. Rusia a trimis un grup de soldați răniți în Coreea de Nord pentru a fi tratați. 4. Rusia a trimis un grup de soldați răniți în Coreea de Nord pentru a fi tratați, în schimbul unor „bunuri” care nu au fost specificate. 5. Rusia a trimis un grup de soldați răniți în Coreea de Nord pentru a fi tratați, în schimbul unor „bunuri” care nu au fost specificate, în timp ce Ucraina a trimis soldați răniți în Polonia pentru a fi tratați. 6. Rusia a trimis un grup de soldați răniți în Coreea de Nord pentru a fi tratați, în schimbul unor „bunuri” care nu au fost specificate, în timp ce Ucraina a trimis soldați răniți în Polonia pentru a fi tratați, în schimbul unor „bunuri” care nu au","['[', '{""afirmație"": ""Imagini de la televiziunea poloneză arată dublura sau clona lui Zelenski."", ""verdict"": ""FALS"", ""justificare"": ""Imagini de la televiziunea poloneză arată dublura sau clona lui Zelenski."", ""context"": ""Zelenski a fost văzut într-o emisiune de televiziune poloneză, în care a vorbit despre războiul din Ucraina. Imaginile au fost distribuite pe rețelele de socializare, în care se spune că Zelenski este dubl']","Rusia trimite „sute” de răniți de război pentru tratament în Coreea de Nord. Ce avantaje are Phenianul din acest program. Rusia trimite soldați care au fost răniți în războiul din Ucraina pentru a se recupera în Coreea de Nord, a declarat ambasadorul Moscovei la Phenian pentru mass-media de stat ruse, scrie Business Insider . Comentariul lui Alexander Matsegora, care reprezintă interesele ruse în Coreea de Nord timp de peste un deceniu, a făcut parte dintr-un interviu amplu despre relațiile transfrontaliere pe care l-a publicat luni publicația de stat Rossiskaia Gazeta. „Un exemplu clar al unei astfel de atitudini frățești este reabilitarea a sute de soldați răniți ai SVO în sanatorii și spitale coreene”, a spus el. „SVO” este o abreviere folosită de Kremlin pentru a descrie războiul din Ucraina ca o „operațiune militară specială”. Coreea de Nord a refuzat compensațiile de la Moscova pentru tratamentul oferit răniților, potrivit lui Matsegora. „Totul legat de șederea în RPDC (Republica"
Acord în NATO pentru trimiterea de sisteme de apărare antiaeriană în Ucraina,true,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|><|assistant|>
Dovezi:
Acord în NATO pentru trimiterea de sisteme de apărare antiaeriană în Ucraina. Statele membre NATO au ajuns la un acord cu privire la trimiterea de sisteme de apărare antiaeriană suplimentare în Ucraina, printre care baterii de rachete Patriot, a anunțat vineri secretarul general al Alianței Nord-Atlantice, Jens Stoltenberg, transmit AFP și Reuters. „NATO a verificat capacitățile existente în sânul Alianței și există sisteme care pot fi disponibilizate pentru Ucraina. Mă aștept așadar în curând la noi anunțuri despre sisteme de apărare antiaeriană”, a declarat Jens Stoltenberg la finalul unei reuniuni a Consiliului NATO-Ucraina, la care a avut o intervenție prin videoconferință și președintele ucrainean Volodimir Zelenski. „În plus față de Patriot, există alte arme pe care aliații le pot livra, printre care (sistemul francez) SAMP/T și mulți alții, care nu au sisteme disponibile, au promis să furnizeze sprijin financiar pentru a le achiziționa pentru Ucraina”,","['NATO aprobă trimiterea de sisteme de apărare antiaeriană în Ucraina.', 'NATO aprobă trimiterea de sisteme de apărare antiaeriană în Ucraina pentru a contracara rachetele balistice ale Rusiei.', 'NATO aprobă trimiterea de sisteme de apărare antiaeriană în Ucraina pentru a contracara rachetele balistice ale Rusiei, care ar putea fi folosite împotriva țărilor NATO. CONTEXT: La 15 iunie, la summit-ul NATO de la Madrid, liderii aliaților au']","Acord în NATO pentru trimiterea de sisteme de apărare antiaeriană în Ucraina. Statele membre NATO au ajuns la un acord cu privire la trimiterea de sisteme de apărare antiaeriană suplimentare în Ucraina, printre care baterii de rachete Patriot, a anunțat vineri secretarul general al Alianței Nord-Atlantice, Jens Stoltenberg, transmit AFP și Reuters. „NATO a verificat capacitățile existente în sânul Alianței și există sisteme care pot fi disponibilizate pentru Ucraina. Mă aștept așadar în curând la noi anunțuri despre sisteme de apărare antiaeriană”, a declarat Jens Stoltenberg la finalul unei reuniuni a Consiliului NATO-Ucraina, la care a avut o intervenție prin videoconferință și președintele ucrainean Volodimir Zelenski. „În plus față de Patriot, există alte arme pe care aliații le pot livra, printre care (sistemul francez) SAMP/T și mulți alții, care nu au sisteme disponibile, au promis să furnizeze sprijin financiar pentru a le achiziționa pentru Ucraina”, a adăugat Stoltenberg în f"
Bill Gates a declarat în timpul G20 din Bali că lumea are nevoie de „panouri ale morții”.,false,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|>1. Bill Gates a declarat în timpul G20 din Bali că lumea are nevoie de „panouri ale morții”. 2. Bill Gates a declarat că lumea are nevoie de „panouri ale morții” pentru a preveni pandemia de COVID-19. 3. Bill Gates a declarat că lumea are nevoie de „panouri ale morții” pentru a preveni pandemia de COVID-19 și a sprijini vaccinarea. 4. Bill Gates a declarat că lumea are nevoie de „panouri ale morții” pentru a preveni pandemia de COVID-19 și a sprijini vaccinarea, dar și pentru a preveni războiul din Ucraina. 5. Bill Gates a declarat că lumea are nevoie de „panouri ale morții” pentru a preveni pandemia de COVID-19 și a sprijini vaccinarea, dar și pentru a preveni războiul din Ucraina și pentru a preveni războiul din Coreea de Nord. 6. Bill Gates a declarat că lumea are nevoie de „panouri ale morții” pentru a preveni pandemia de COVID-19 și a sprijini vaccinarea, dar și pentru a preveni războiul din Ucraina, războiul din Coreea de Nord și","['[', '{""afirmație"": ""Bill Gates a declarat în timpul G20 din Bali că lumea are nevoie de „panouri ale morții""."", ""verdict"": ""FALS"", ""justificare"": ""Bill Gates a declarat în timpul G20 din Bali că lumea are nevoie de „panouri ale morții""."", ""context"": ""Bill Gates a declarat în timpul G20 din Bali că lumea are nevoie de „panouri ale morții”."", ""source"": ""https://www.youtube.com/watch?v=ZV6e8Z4Q5Qg"", ""date"": ""2023-09-11"", ""']","Rusia trimite „sute” de răniți de război pentru tratament în Coreea de Nord. Ce avantaje are Phenianul din acest program. Rusia trimite soldați care au fost răniți în războiul din Ucraina pentru a se recupera în Coreea de Nord, a declarat ambasadorul Moscovei la Phenian pentru mass-media de stat ruse, scrie Business Insider . Comentariul lui Alexander Matsegora, care reprezintă interesele ruse în Coreea de Nord timp de peste un deceniu, a făcut parte dintr-un interviu amplu despre relațiile transfrontaliere pe care l-a publicat luni publicația de stat Rossiskaia Gazeta. „Un exemplu clar al unei astfel de atitudini frățești este reabilitarea a sute de soldați răniți ai SVO în sanatorii și spitale coreene”, a spus el. „SVO” este o abreviere folosită de Kremlin pentru a descrie războiul din Ucraina ca o „operațiune militară specială”. Coreea de Nord a refuzat compensațiile de la Moscova pentru tratamentul oferit răniților, potrivit lui Matsegora. „Totul legat de șederea în RPDC (Republica"
PROPAGANDĂ DE RĂZBOI: Francezii resping politica de sancțiuni față de Rusia și asistența acordată Ucrainei,false,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|>1. PROPAGANDĂ DE RĂZBOI: Francezii resping politica de sancțiuni față de Rusia și asistența acordată Ucrainei. 2. PROPAGANDĂ DE RĂZBOI: Sancțiunile nu afectează Rusia, dar vor cauza o criză economică severă în Occident. 3. PROPAGANDĂ DE RĂZBOI: Rusia nu este responsabilă pentru războiul din Ucraina. 4. PROPAGANDĂ DE RĂZBOI: Occidentul este responsabil pentru războiul din Ucraina. 5. PROPAGANDĂ DE RĂZBOI: Rusia este victima unui război declanșat de Occident. 6. PROPAGANDĂ DE RĂZBOI: Occidentul este vinovat de războiul din Ucraina. 7. PROPAGANDĂ DE RĂZBOI: Rusia este o țară pacifică care nu dorește război. 8. PROPAGANDĂ DE RĂZBOI: Occidentul este un agresor care dorește război. 9. PROPAGANDĂ DE RĂZBOI: Rusia este o țară care se apără de agresiunea Occidentului. 10. PROP","['Francezii resping politica de sancțiuni față de Rusia și asistența acordată Ucrainei.', 'Franța nu va mai furniza Ucrainei arme și muniții.', 'Franța nu va mai susține sancțiunile impuse Rusiei.']","PROPAGANDĂ DE RĂZBOI: Francezii resping politica de sancțiuni față de Rusia și asistența acordată Ucrainei ""În ultimele luni, nivelul de trai în Franța a scăzut critic, iar asistența acordată Ucrainei în detrimentul țării determină nemulțumiri în rândul francezilor. Această opinie a fost exprimată de un politician francez, liderul partidului Uniunea Populară Republicană, François Asselineau, citat de RIA Novosti. Pe contul său de Twitter el a pus o întrebare simplă, dar foarte răspândită, dacă merită continuate sancțiunile față de Rusia? De precizat că francezii critică regulat autoritățile pentru politica de sancțiuni. Este criticat și președintele. Francezii sunt siguri că liderul trebuie să țină cont în primul rând de interesele cetățenilor țării sale"". NARAȚIUNE: Francezii resping politica de sancțiuni față de Rusia și asistența acordată Ucrainei. Sancțiunile nu afectează Rusia, dar vor cauza o criză economică severă în Occident ""Ideea de a plafona prețul petrolului din Rusia repre"
Acest video arată un protest din Olanda,false,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|>_<|assistant|>
Dovezi:
Afirmație: Acest video arată un protest din Olanda

Dovezi:
Acest video arată un protest din Olanda. Un video care circulă pe rețelele de socializare arată o mulțime de oameni protestând în stradă. Imaginile arată o mulțime de oameni protestând în stradă, însă nu este clar ce eveniment este reprezentat. Imaginile au fost publicate pe rețelele de socializare în contextul protestelor din Olanda, însă nu este clar dacă imaginile sunt reale sau au fost create artificial. Imaginile au fost publicate pe rețelele de socializare în contextul protestelor din Olanda, însă nu este clar dacă imaginile sunt reale sau au fost create artificial. Imaginile au fost publicate pe rețelele de socializare în contextul protestelor din Olanda, însă nu este clar dacă imaginile sunt reale sau au fost create artificial. Imaginile au fost publicate pe rețelele de socializare în contextul protestelor din Olanda, însă nu este clar dacă imaginile sunt reale sau au fost create artificial. Imaginile au fost publicate pe rețelele de socializare în contextul protestelor din Olanda, însă nu este clar dacă imaginile sunt reale sau au fost create","['[', '{""afirmație"": ""Acest video arată un protest din Olanda"", ""verdict"": ""FALS"", ""context"": ""Video"", ""analize"": ""Video"", ""source"": ""Facebook"", ""date"": ""2022-03-24"", ""doc"": ""doc_2022_03_24_1"", ""doc_url"": ""doc_2022_03_24_1.pdf"", ""doc_type"": ""pdf"", ""doc_size"": ""0"", ""doc_hash"": ""0"", ""doc_date"": ""2022-03-24"", ""doc_time"": ""10:00:00"", ""doc_location"": ""https://www.facebook.com/100000000000000/posts']","Rusia trimite „sute” de răniți de război pentru tratament în Coreea de Nord. Ce avantaje are Phenianul din acest program. Rusia trimite soldați care au fost răniți în războiul din Ucraina pentru a se recupera în Coreea de Nord, a declarat ambasadorul Moscovei la Phenian pentru mass-media de stat ruse, scrie Business Insider . Comentariul lui Alexander Matsegora, care reprezintă interesele ruse în Coreea de Nord timp de peste un deceniu, a făcut parte dintr-un interviu amplu despre relațiile transfrontaliere pe care l-a publicat luni publicația de stat Rossiskaia Gazeta. „Un exemplu clar al unei astfel de atitudini frățești este reabilitarea a sute de soldați răniți ai SVO în sanatorii și spitale coreene”, a spus el. „SVO” este o abreviere folosită de Kremlin pentru a descrie războiul din Ucraina ca o „operațiune militară specială”. Coreea de Nord a refuzat compensațiile de la Moscova pentru tratamentul oferit răniților, potrivit lui Matsegora. „Totul legat de șederea în RPDC (Republica"
Parlamentul European obligă Republica Moldova să impună embargou gazului rusesc,false,partially_true,"nan<|end|><|assistant|>
Analizează afirmația pe baza dovezilor și oferă:
Verdict: [ADEVĂRAT / FALS / PARȚIAL_ADEVĂRAT]
Justificare: nan<|end|>_<|assistant|>
Context/etos local: Republica Moldova a fost invitată să devină stat membru al Uniunii Europene în 2024, în urma unei rezoluții adoptate de Parlamentul European. În aceeași rezoluție, Parlamentul European a solicitat Comisiei Europene să identifice, împreună cu Republica Moldova, soluții pentru diversificarea resurselor energetice, în contextul războiului din Ucraina și a dependenței Republicii Moldova de gazele rusești. În ultimii ani, Republica Moldova a fost subiectul unor campanii de dezinformare și propagandă din partea Rusiei, care a încercat să o descurajeze de la integrarea europeană. În ultimii ani, Republica Moldova a fost subiectul unor campanii de dezinformare și propagandă din partea Rusiei, care a încercat să o descurajeze de la integrarea europeană. În 2022, Rusia a încercat să o descurajeze de la integrarea europeană, prin intermediul unor campanii de dezinformare și propagandă. În 2022, Rusia a încercat să o descurajeze de la integrarea europeană, prin intermediul unor campanii de dezinformare și","['Parlamentul European obligă Republica Moldova să impună embargou gazului rusesc.', 'Republica Moldova este obligată să impună embargou gazului rusesc.', 'Republica Moldova a fost obligată să impună embargou gazului rusesc.']","La 5 mai Parlamentul European a votat o rezoluție prin care solicită Consiliului și Comisiei Europene să acorde Republicii Moldova statutul de țară-candidat la Uniunea Europeană, iar acest eveniment nu a fost trecut cu vederea de presa cu politică editorială pro-Kremlin din Republica Moldova. Câteva surse au speculat pe seama rezoluției, afirmând că Parlamentul European îi cere Republicii Moldova să impună imediat embargou la gazele importate din Federația Rusă. Această afirmație este falsă. De fapt, Parlamentul European îndeamnă Comisia Europeană să identifice, împreună cu Republica Moldova, soluții pentru diversificarea resurselor energetice, iar îndemnul privind impunerea embargoului se referă la statele membre ale UE, nu la Republica Moldova. Site-urile pro-Kremlin blamează UE „ Dacă vreți mai aproape de Europa - învățați să preparați mâncarea la rug. Parlamentul European îi cere Republicii Moldova să renunțe imediat la gazul rusesc ”, a titrat site-ul Kp.md. „ În rezoluția din 5 m"
Dioxidul de titan care se găsește în Amoxicilină este cancerigen.,partially_true,false,"1. Occidentul luptă cu Rusia prin intermediul Ucrainei. 2. Ucraina este o țară a Occidentului. 3. Rusia este atacată de Occident. 4. Rusia este o țară pacifică. 5. Rusia este o țară care se apără de agresiunea Occidentului. 6. Rusia este o țară care se apără de agresiunea Ucrainei. 7. Rusia este o țară care se apără de agresiunea NATO. 8. Rusia este o țară care se apără de agresiunea SUA. 9. Rusia este o țară care se apără de agresiunea Occidentului în general. 10. Rusia este o țară care se apără de agresiunea Occidentului în Ucraina. 11. Rusia este o țară care se apără de agresiunea Occidentului în Asia Centrală. 12. Rusia este o țară care se apără de agresiunea Occidentului în Asia. 13. Rusia este o țară care se apără de agresiunea Occidentului în lume. 14. Rusia este o țară care se apără de agresiunea Occidentului în Ucraina și în lume. 15. Rusia este o țară care se apără de agresiunea Occidentului în Ucraina, în Asia Centrală și în lume. 16. Rusia este o țară care se apără","['Dioxidul de titan este un compus chimic care se găsește în Amoxicilină.', 'Dioxidul de titan este un compus chimic care poate provoca cancer.', 'Dioxidul de titan este un compus chimic care este utilizat în industria farmaceutică.']","Occidentul luptă cu Rusia prin intermediul Ucrainei ""Pentru a înțelege ce fel de război se dă în Ucraina trebuie să ne întoarcem la Carl von Clausewitz, părintele strategiilor militare. Generalul prusac susținea că războiul este practic nelimitat în varietate, complex și schimbător și fix așa arată și ""operațiunea specială"" ce se desfășoară lângă țara noastră. Acolo este un război proxy de facto între Occident și Rusia, iar forțele ucrainene sunt sabia NATO. Țelul Vestului este de a ""sângera Rusia"", de aceea pompează miliarde în înarmarea Kievului. Ucraina nu este doar o luptă regională între doi vecini care s-au luat la harță. Ucraina este prima fază a unui plan mai larg ce urmărește zdrobirea Rusiei, prăbușirea economiei sale, înlăturarea liderilor politici, confiscarea resurselor naturale și fragmentarea teritoriului. Cine vrea asta, o știe toată lumea! Războiul din Ucraina este despre proiectarea puterii SUA în Asia Centrală, tocmai până la marginea Pacificului, este despre hegemon"
"Zelenski este inadecvat, iar armele occidentale doar adâncesc ""agonia regimului""",false,true,"1. Volodimir Zelenski este inadecvat pentru a conduce Ucraina. 2. Armele occidentale adâncesc ""agonia regimului"" din Ucraina. 3. Liderii aduși la putere de Occident în Ucraina sunt corupți și doar își urmăresc interesele personale. 4. Zelenski este un ""texan adevărat"" și nu se gândește la binele Ucrainei. CONTEXT/ETOS LOCAL: Ucraina a fost invadată de Rusia la 24 februarie 2022. În timpul invaziei, președintele Volodimir Zelenski a devenit un lider de la nivel mondial, fiind prezent în numeroase conferințe de presă și interviuri la televiziune. În acest context, Rusia a început să atace personalitatea lui Zelenski, acuzându-l că este corupt, că nu se gândește la binele Ucrainei și că este dependent de substanțe. Aceste acuzații sunt false, deoarece Zelenski a fost un actor de succes înainte de a deveni președinte și nu a avut nicio legătură cu corupția. De asemenea, Zelenski a fost un susținător al integrării Ucrainei în NATO și a fost unul dintre cei mai vocali lideri europeni în ceea ce privește sprijinul pentru Ucraina în fața invaziei ruse. OBIECTIV:","['Zelenski este inadecvat, iar armele occidentale doar adâncesc ""agonia regimului""', 'Zelenski este un ""regim de tip totalitar""', 'Zelenski este un ""regim de tip totalitar"" și ""într-un final va fi înlocuit de un regim democratic"" și ""Ucraina va fi un stat democratic, nu un stat totalitar""']","Zelenski este inadecvat, iar armele occidentale doar adâncesc ""agonia regimului"" Președintele Ucrainei, Volodimir Zelenski, depinde serios de anumite substanțe, ceea ce face ca declarațiile sale să fie inadecvate și nepotrivite pentru a se orienta în politica internațională, a afirmat purtătoarea de cuvânt a Ministerului de Externe al Rusiei, Maria Zaharova [...] Aceasta a descris situația din Ucraina drept ""agonia regimului"", care, în opinia sa, este adâncită de livrările de armament occidental. ""Cu cât vor fi mai multe livrări de arme către Ucraina, cu atât mai cumplită va fi această agonie"", a subliniat Zaharova. Potrivit ei, declarațiile lui Zelenski sunt motivate nu de interesele țării, ci de dorința de a-și menține puterea personală. Ea a adăugat că liderii aduși la putere de Occident în Ucraina ""nu s-au gândit cu adevărat la Ucraina"", ci au urmărit doar îmbogățirea personală și satisfacerea propriului orgoliu. ""Zelenski este un tip dur, un texan adevărat"". Ce impresie i-a lăsat "
